,University,Department,State,Gender,Rank,Qualification,EmploymentType,Age,YearsOfExperience,Publications,PerformanceScore,AbsenceDays,CoursesTaught,StudentsSupervised,PayrollCategory,ResearchProductivity,TeachingLoad,Performance,YearsStudents
1403,University of Lagos,Agriculture,Kwara,Female,Assistant lecturer,Ph.D,Full-time staff,32,4,6,8.9,5,7,4,Medium,1.2,1.4,18.9,0.8
1404,Obafemi Awolowo University,Computer science,Kano,Female,Lecturer i,B.Sc,Full-time staff,31,7,11,4.7,9,7,11,Medium,1.375,0.5833,22.7,1.375
1405,University of Nigeria Nsukka,Library science,Rivers,Female,Assistant lecturer,Ph.D,Contract staff,29,6,4,3.6,1,3,0,Low,0.5714,3.0,13.6,0.0
1406,University of Ilorin,Economics,Anambra,Female,Lecturer i,M.Sc,Contract staff,36,14,5,6.9,3,6,7,High,0.3333,0.75,25.9,0.4667
1407,Abubakar Tafawa Balewa University Bauchi,Nursing,Sokoto,Female,Lecturer i,Ph.D,Contract staff,31,7,5,8.5,1,2,23,High,0.625,0.0833,20.5,2.875
1408,Ahmadu Bello University,History,Kaduna,Female,Lecturer ii,Ph.D,Full-time staff,32,8,0,5.1,5,4,10,Medium,0.0,0.3636,13.1,1.1111
1409,Bayero University Kano,Statistics,Adamawa,Female,Senior lecturer,M.Sc,Full-time staff,43,21,4,7.2,3,7,6,Executive,0.1818,1.0,32.2,0.2727
1410,University of Benin,Accounting,Sokoto,Female,Lecturer i,Ph.D,Full-time staff,30,8,5,7.7,0,6,11,High,0.5556,0.5,20.7,1.2222
1411,University of Ilorin,Engineering,Oyo,Female,Lecturer ii,M.Phil,Full-time staff,28,6,1,8.3,7,5,17,Medium,0.1429,0.2778,15.3,2.4286
1412,University of Benin,Nursing,Enugu,Male,Lecturer i,Ph.D,Contract staff,34,11,5,8.7,1,1,17,High,0.4167,0.0556,24.7,1.4167
1413,Bayero University Kano,Engineering,Lagos,Female,Lecturer ii,M.Sc,Full-time staff,35,0,6,9.2,5,0,20,Medium,6.0,0.0,15.2,20.0
1414,University of Nigeria Nsukka,Mathematics,Oyo,Female,Assistant lecturer,M.Sc,Full-time staff,32,3,1,9.4,2,7,1,Medium,0.25,3.5,13.4,0.25
1415,Nnamdi Azikiwe University,Architecture,Rivers,Female,Senior lecturer,Ph.D,Full-time staff,42,20,5,5.4,2,1,20,Executive,0.2381,0.0476,30.4,0.9524
1416,University of Lagos,Physics,Benue,Female,Lecturer i,Ph.D,Full-time staff,35,8,6,6.3,3,1,18,High,0.6667,0.0526,20.3,2.0
1417,University of Ilorin,Engineering,Sokoto,Female,Professor,Ph.D,Contract staff,53,27,11,4.0,0,7,2,Executive,0.3929,2.3333,42.0,0.0714
1418,Abubakar Tafawa Balewa University Bauchi,Engineering,Benue,Female,Graduate assistant,Ph.D,Contract staff,28,1,1,7.7,1,6,2,Low,0.5,2.0,9.7,1.0
1419,Obafemi Awolowo University,Engineering,Enugu,Female,Professor,Ph.D,Full-time staff,57,34,7,7.1,9,4,13,Executive,0.2,0.2857,48.1,0.3714
1420,University of Benin,Accounting,Rivers,Female,Lecturer i,Ph.D,Full-time staff,33,10,4,6.3,3,5,16,High,0.3636,0.2941,20.3,1.4545
1421,University of Nigeria Nsukka,Engineering,Kaduna,Female,Senior lecturer,Ph.D,Full-time staff,43,21,12,4.9,9,6,5,High,0.5455,1.0,37.9,0.2273
1422,University of Nigeria Nsukka,Medicine,Adamawa,Male,Lecturer i,Ph.D,Full-time staff,41,15,11,6.6,3,4,5,High,0.6875,0.6667,32.6,0.3125
1423,Abubakar Tafawa Balewa University Bauchi,Physics,Delta,Female,Assistant lecturer,Ph.D,Visiting staff,33,6,3,5.7,4,5,3,Medium,0.4286,1.25,14.7,0.4286
1424,University of Lagos,Medicine,Lagos,Female,Assistant lecturer,M.Sc,Full-time staff,33,6,5,8.8,1,2,3,Medium,0.7143,0.5,19.8,0.4286
1425,Bayero University Kano,Education,Sokoto,Female,Lecturer ii,M.Ed,Visiting staff,27,5,6,7.1,4,5,20,Medium,1.0,0.2381,18.1,3.3333
1426,Ahmadu Bello University,Economics,Kwara,Female,Lecturer i,Ph.D,Full-time staff,39,11,8,3.6,2,4,24,High,0.6667,0.16,22.6,2.0
1427,Obafemi Awolowo University,Pharmacy,Kwara,Male,Associate professor,M.Sc,Full-time staff,52,29,10,6.7,0,4,23,Executive,0.3333,0.1667,45.7,0.7667
1428,Obafemi Awolowo University,English,Benue,Female,Lecturer ii,Ph.D,Full-time staff,33,10,2,7.7,1,4,9,Medium,0.1818,0.4,19.7,0.8182
1429,Bayero University Kano,Geography,Sokoto,Female,Lecturer i,M.Sc,Full-time staff,36,10,6,8.2,2,3,2,High,0.5455,1.0,24.2,0.1818
1430,Obafemi Awolowo University,History,Katsina,Female,Lecturer i,Ph.D,Contract staff,44,15,3,5.8,1,5,12,High,0.1875,0.3846,23.8,0.75
1431,Bayero University Kano,Engineering,Enugu,Female,Assistant lecturer,Ph.D,Full-time staff,31,5,2,3.8,5,1,1,Low,0.3333,0.5,10.8,0.1667
1432,Abubakar Tafawa Balewa University Bauchi,Pharmacy,Kano,Female,Assistant lecturer,M.Tech,Contract staff,28,2,5,6.3,3,2,1,Low,1.6667,1.0,13.3,0.3333
1433,Bayero University Kano,Physics,Delta,Male,Lecturer i,M.Tech,Full-time staff,33,8,8,6.1,3,1,14,High,0.8889,0.0667,22.1,1.5556
1434,University of Nigeria Nsukka,History,Bauchi,Female,Lecturer i,Ph.D,Full-time staff,34,10,2,6.5,3,6,11,High,0.1818,0.5,18.5,1.0
1435,Ahmadu Bello University,Mathematics,Anambra,Female,Associate professor,M.Phil,Full-time staff,51,25,14,7.5,4,4,9,Executive,0.5385,0.4,46.5,0.3462
1436,Federal University of Technology Minna,English,Kaduna,Female,Associate professor,B.Tech,Visiting staff,50,25,1,7.5,5,3,13,Executive,0.0385,0.2143,33.5,0.5
1437,University of Ilorin,English,Bauchi,Female,Lecturer ii,M.Sc,Adjunct staff,29,4,7,9.4,3,7,14,Medium,1.4,0.4667,20.4,2.8
1438,Bayero University Kano,Statistics,Lagos,Female,Assistant lecturer,Ph.D,Full-time staff,29,5,3,6.7,0,1,3,Medium,0.5,0.25,14.7,0.5
1439,Federal University of Technology Minna,History,Adamawa,Female,Lecturer ii,Ph.D,Full-time staff,39,10,9,7.1,4,3,9,Medium,0.8182,0.3,26.1,0.8182
1440,Abubakar Tafawa Balewa University Bauchi,Medicine,Rivers,Male,Senior lecturer,M.Sc,Full-time staff,42,17,8,8.7,4,1,21,Executive,0.4444,0.0455,33.7,1.1667
1441,Abubakar Tafawa Balewa University Bauchi,Agriculture,Anambra,Female,Senior lecturer,MBA,Full-time staff,44,22,4,4.5,0,7,3,Executive,0.1739,1.75,30.5,0.1304
1442,University of Nigeria Nsukka,Library science,Rivers,Male,Lecturer i,MBA,Part-time staff,35,8,3,5.9,2,2,12,High,0.3333,0.1538,16.9,1.3333
1443,Ahmadu Bello University,Geography,Oyo,Female,Senior lecturer,Ph.D,Full-time staff,42,16,13,6.4,0,6,19,High,0.7647,0.3,35.4,1.1176
1444,Ahmadu Bello University,Chemistry,Lagos,Female,Associate professor,M.Sc,Full-time staff,49,30,13,6.2,261,4,17,Executive,0.4194,0.2222,49.2,0.5484
1445,University of Lagos,Geography,Kaduna,Female,Assistant lecturer,M.Sc,Full-time staff,31,2,1,4.8,2,3,4,Medium,0.3333,0.6,7.8,1.3333
1446,University of Nigeria Nsukka,Biology,Enugu,Male,Lecturer i,M.Sc,Full-time staff,39,14,7,8.4,3,5,9,High,0.4667,0.5,29.4,0.6
1447,University of Ilorin,Economics,Enugu,Female,Associate professor,M.Sc,Full-time staff,53,29,11,8.4,1,4,11,Executive,0.3667,0.3333,48.4,0.3667
1448,University of Ilorin,Physics,Oyo,Female,Graduate assistant,Ph.D,Adjunct staff,25,3,5,4.4,5,3,2,Low,1.25,1.0,12.4,0.5
1449,University of Ilorin,Physics,Niger,Female,Associate professor,B.Sc,Full-time staff,53,28,9,7.1,11,7,20,Executive,0.3103,0.3333,44.1,0.6897
1450,Federal University of Technology Minna,Agriculture,Delta,Female,Lecturer i,M.Sc,Visiting staff,38,9,6,7.9,2,7,17,High,0.6,0.3889,22.9,1.7
1451,University of Benin,Statistics,Kwara,Female,Lecturer i,Ph.D,Full-time staff,42,15,6,6.6,2,2,20,High,0.375,0.0952,27.6,1.25
1452,Abubakar Tafawa Balewa University Bauchi,Computer science,Enugu,Female,Lecturer ii,M.Sc,Visiting staff,29,5,5,6.0,3,2,5,Medium,0.8333,0.3333,16.0,0.8333
1453,Ahmadu Bello University,Architecture,Rivers,Female,Associate professor,M.Ed,Full-time staff,47,20,0,4.1,3,4,16,Executive,0.0,0.2353,24.1,0.7619
1454,University of Lagos,Economics,Imo,Male,Associate professor,Ph.D,Contract staff,50,28,15,4.9,4,5,20,Executive,0.5172,0.2381,47.9,0.6897
1455,University of Ilorin,Mathematics,Abuja,Female,Lecturer i,M.Sc,Full-time staff,29,7,8,5.8,3,0,2,High,1.0,0.0,20.8,0.25
1456,University of Ilorin,Library science,Kano,Female,Assistant lecturer,M.Sc,Full-time staff,28,3,6,7.2,1,3,1,Medium,1.5,1.5,16.2,0.25
1457,University of Nigeria Nsukka,Agriculture,Benue,Female,Associate professor,M.Ed,Full-time staff,46,0,13,4.0,2,4,19,Executive,13.0,0.2,17.0,19.0
1458,University of Lagos,History,Sokoto,Female,Assistant lecturer,Ph.D,Full-time staff,28,5,4,9.0,0,3,3,Medium,0.6667,0.75,18.0,0.5
1459,Abubakar Tafawa Balewa University Bauchi,Agriculture,Kwara,Female,Senior lecturer,Ph.D,Full-time staff,42,12,7,8.4,6,1,8,Executive,0.5385,0.1111,27.4,0.6154
1460,University of Benin,Chemistry,Anambra,Female,Associate professor,Ph.D,Visiting staff,44,19,13,9.4,3,1,8,Executive,0.65,0.1111,41.4,0.4
1461,Nnamdi Azikiwe University,Mathematics,Adamawa,Female,Senior lecturer,Ph.D,Full-time staff,42,15,5,8.6,0,1,11,Executive,0.3125,0.0833,28.6,0.6875
1462,Federal University of Technology Minna,Law,Kaduna,Female,Lecturer ii,M.Sc,Full-time staff,39,10,4,5.0,5,4,17,Medium,0.3636,0.2222,19.0,1.5455
1463,University of Lagos,Statistics,Rivers,Female,Associate professor,Ph.D,Full-time staff,48,27,9,3.8,6,3,21,Executive,0.3214,0.1364,39.8,0.75
1464,Federal University of Technology Minna,Economics,Abuja,Female,Lecturer ii,Ph.D,Full-time staff,32,8,0,5.5,3,4,3,Medium,0.0,1.0,13.5,0.3333
1465,Ahmadu Bello University,Accounting,Lagos,Female,Lecturer i,Ph.D,Full-time staff,38,9,3,9.0,2,7,13,High,0.3,0.5,21.0,1.3
1466,University of Benin,Law,Plateau,Female,Lecturer ii,M.Sc,Full-time staff,33,10,3,9.4,1,4,7,Medium,0.2727,0.5,22.4,0.6364
1467,Obafemi Awolowo University,Biology,Rivers,Female,Associate professor,M.Sc,Visiting staff,49,24,8,5.4,5,6,10,Executive,0.32,0.5455,37.4,0.4
1468,Obafemi Awolowo University,Statistics,Enugu,Female,Professor,M.Sc,Full-time staff,61,37,9,5.8,5,4,9,Executive,0.2368,0.4,51.8,0.2368
1469,Abubakar Tafawa Balewa University Bauchi,Library science,Niger,Female,Lecturer i,M.Sc,Part-time staff,33,9,2,8.4,0,1,18,Medium,0.2,0.0526,19.4,1.8
1470,Federal University of Technology Minna,Nursing,Abuja,Female,Professor,M.Sc,Contract staff,64,40,17,9.3,2,3,16,Executive,0.4146,0.1765,66.3,0.3902
1471,Abubakar Tafawa Balewa University Bauchi,Medicine,Bauchi,Female,Assistant lecturer,Ph.D,Contract staff,29,3,4,7.1,2,3,2,Medium,1.0,1.0,14.1,0.5
1472,University of Ilorin,English,Delta,Female,Associate professor,B.Ed,Visiting staff,46,19,9,8.1,2,7,8,Executive,0.45,0.7778,36.1,0.4
1473,University of Benin,Computer science,Lagos,Female,Professor,Ph.D,Full-time staff,55,28,18,5.8,0,3,10,Executive,0.6207,0.2727,51.8,0.3448
1474,University of Ilorin,Biology,Katsina,Female,Lecturer i,Ph.D,Full-time staff,34,10,5,8.7,2,1,12,High,0.4545,0.0769,23.7,1.0909
1475,University of Benin,Computer science,Delta,Female,Senior lecturer,M.Phil,Full-time staff,48,21,1,9.6,1,2,11,High,0.0455,0.1667,31.6,0.5
1476,Obafemi Awolowo University,Accounting,Oyo,Female,Lecturer i,Ph.D,Full-time staff,33,8,5,6.8,2,2,10,Medium,0.5556,0.1818,19.8,1.1111
1477,Abubakar Tafawa Balewa University Bauchi,Geography,Imo,Female,Senior lecturer,Ph.D,Full-time staff,47,20,2,3.8,1,6,18,Executive,0.0952,0.3158,25.8,0.8571
1478,Bayero University Kano,Economics,Niger,Female,Lecturer ii,Ph.D,Full-time staff,37,8,4,7.7,8,2,17,Medium,0.4444,0.1111,19.7,1.8889
1479,University of Nigeria Nsukka,Library science,Enugu,Female,Senior lecturer,Ph.D,Part-time staff,34,12,4,7.2,1,1,15,Executive,0.3077,0.0625,23.2,1.1538
1480,University of Ilorin,Engineering,Kaduna,Female,Professor,Ph.D,Full-time staff,58,34,16,5.2,1,1,20,Executive,0.4571,0.0476,55.2,0.5714
1481,Nnamdi Azikiwe University,Nursing,Abuja,Female,Lecturer i,MBA,Full-time staff,37,12,3,3.7,6,6,14,High,0.2308,0.4,18.7,1.0769
1482,University of Benin,Statistics,Enugu,Female,Lecturer i,M.Sc,Full-time staff,40,15,3,7.1,2,3,15,High,0.1875,0.1875,25.1,0.9375
1483,University of Benin,Law,Delta,Female,Professor,Ph.D,Full-time staff,51,28,9,7.0,2,3,8,Executive,0.3103,0.3333,44.0,0.2759
1484,University of Ilorin,Physics,Kano,Female,Lecturer i,M.Phil,Full-time staff,42,13,8,7.8,2,7,3,High,0.5714,1.75,28.8,0.2143
1485,Ahmadu Bello University,Medicine,Imo,Female,Lecturer i,Ph.D,Full-time staff,32,8,3,4.1,3,4,15,Medium,0.3333,0.25,15.1,1.6667
1486,University of Lagos,History,Kano,Female,Graduate assistant,M.Ed,Full-time staff,26,2,4,4.0,4,7,1,Low,1.3333,3.5,10.0,0.3333
1487,Nnamdi Azikiwe University,Accounting,Katsina,Female,Lecturer i,M.Sc,Full-time staff,35,10,8,7.5,0,1,2,High,0.7273,0.3333,25.5,0.1818
1488,Obafemi Awolowo University,Geography,Kwara,Female,Senior lecturer,Ph.D,Full-time staff,43,17,10,6.9,1,1,9,Executive,0.5556,0.1,33.9,0.5
1489,Bayero University Kano,Mathematics,Plateau,Female,Lecturer i,M.Sc,Contract staff,36,11,2,6.9,6,4,23,Medium,0.1667,0.1667,19.9,1.9167
1490,University of Lagos,English,Enugu,Female,Lecturer i,B.Ed,Full-time staff,37,13,5,8.8,2,2,11,High,0.3571,0.1667,26.8,0.7857
1491,Obafemi Awolowo University,Biology,Kaduna,Female,Associate professor,MBA,Full-time staff,53,25,14,7.4,4,3,19,Executive,0.5385,0.15,46.4,0.7308
1492,Nnamdi Azikiwe University,Pharmacy,Enugu,Female,Lecturer i,B.Ed,Full-time staff,37,13,7,4.6,0,3,14,High,0.5,0.2,24.6,1.0
1493,Obafemi Awolowo University,Law,Kaduna,Female,Lecturer i,Ph.D,Full-time staff,40,0,4,5.5,4,3,14,High,4.0,0.2,9.5,14.0
1494,Federal University of Technology Minna,Geography,Rivers,Male,Graduate assistant,M.Sc,Full-time staff,29,0,4,9.2,7,1,3,Medium,4.0,0.25,13.2,3.0
1495,University of Nigeria Nsukka,Mathematics,Rivers,Female,Lecturer ii,M.Sc,Full-time staff,32,8,2,3.9,1,1,19,Medium,0.2222,0.05,13.9,2.1111
1496,University of Nigeria Nsukka,Geography,Kwara,Female,Lecturer i,M.Tech,Full-time staff,38,10,7,7.4,4,2,8,Medium,0.6364,0.2222,24.4,0.7273
1497,University of Lagos,Nursing,Lagos,Male,Graduate assistant,M.Tech,Visiting staff,31,3,1,7.5,0,4,1,Low,0.25,2.0,11.5,0.25
1498,University of Ilorin,Physics,Anambra,Male,Lecturer i,B.Tech,Contract staff,36,9,0,7.1,3,3,14,High,0.0,0.2,16.1,1.4
1499,University of Nigeria Nsukka,Architecture,Abuja,Female,Associate professor,MBA,Full-time staff,46,0,14,6.3,1,6,3,Executive,14.0,1.5,20.3,3.0
1500,University of Nigeria Nsukka,Pharmacy,Taraba,Female,Lecturer ii,M.Ed,Visiting staff,28,4,3,5.7,4,6,22,Medium,0.6,0.2609,12.7,4.4
1501,Obafemi Awolowo University,Biology,Katsina,Male,Lecturer ii,Ph.D,Full-time staff,32,5,4,6.9,4,1,24,Medium,0.6667,0.04,15.9,4.0
1502,University of Lagos,Biology,Niger,Female,Lecturer i,M.Sc,Full-time staff,38,10,5,6.9,3,1,15,High,0.4545,0.0625,21.9,1.3636
1503,University of Lagos,History,Anambra,Male,Graduate assistant,MBA,Full-time staff,24,0,0,6.4,1,3,3,Low,0.0,0.75,6.4,3.0
1504,Federal University of Technology Minna,Library science,Kano,Female,Lecturer i,M.Ed,Full-time staff,36,10,9,7.2,5,5,14,High,0.8182,0.3333,26.2,1.2727
1505,Federal University of Technology Minna,Physics,Enugu,Male,Associate professor,B.Sc,Full-time staff,42,0,6,4.3,3,1,10,Executive,6.0,0.0909,10.3,10.0
1506,University of Nigeria Nsukka,Library science,Benue,Male,Lecturer ii,Ph.D,Full-time staff,29,6,3,6.3,4,3,24,Medium,0.4286,0.12,15.3,3.4286
1507,Bayero University Kano,Law,Plateau,Female,Assistant lecturer,Ph.D,Visiting staff,31,5,4,9.0,5,2,3,Medium,0.6667,0.5,18.0,0.5
1508,University of Ilorin,Computer science,Sokoto,Female,Lecturer i,M.Sc,Full-time staff,41,15,0,3.7,3,4,24,High,0.0,0.16,18.7,1.5
1509,Nnamdi Azikiwe University,Computer science,Kaduna,Male,Lecturer i,Ph.D,Adjunct staff,29,7,5,6.5,5,2,5,High,0.625,0.3333,18.5,0.625
1510,University of Ilorin,Pharmacy,Imo,Female,Professor,M.Sc,Full-time staff,51,28,9,9.0,5,4,22,Executive,0.3103,0.1739,46.0,0.7586
1511,Bayero University Kano,Architecture,Benue,Female,Senior lecturer,Ph.D,Contract staff,39,17,5,6.1,5,6,5,Executive,0.2778,1.0,28.1,0.2778
1512,Ahmadu Bello University,Chemistry,Delta,Female,Graduate assistant,Ph.D,Full-time staff,25,3,4,9.7,1,1,2,Low,1.0,0.3333,16.7,0.5
1513,Federal University of Technology Minna,English,Taraba,Female,Lecturer i,B.Ed,Full-time staff,36,12,8,9.9,1,5,21,High,0.6154,0.2273,29.9,1.6154
1514,University of Benin,Agriculture,Enugu,Female,Lecturer ii,Ph.D,Full-time staff,31,7,4,4.4,5,5,5,Medium,0.5,0.8333,15.4,0.625
1515,University of Benin,Biology,Abuja,Female,Lecturer i,Ph.D,Full-time staff,35,9,3,4.2,0,2,24,High,0.3,0.08,16.2,2.4
1516,Ahmadu Bello University,English,Rivers,Male,Lecturer ii,B.Tech,Full-time staff,30,4,4,3.5,1,1,21,Medium,0.8,0.0455,11.5,4.2
1517,Abubakar Tafawa Balewa University Bauchi,Biology,Plateau,Female,Senior lecturer,MBA,Full-time staff,39,13,13,4.8,1,1,17,Executive,0.9286,0.0556,30.8,1.2143
1518,Obafemi Awolowo University,Pharmacy,Abuja,Female,Lecturer i,B.Tech,Adjunct staff,34,8,5,8.4,1,3,5,High,0.5556,0.5,21.4,0.5556
1519,Ahmadu Bello University,Economics,Niger,Female,Lecturer i,M.Phil,Full-time staff,38,12,7,4.9,2,7,2,High,0.5385,2.3333,23.9,0.1538
1520,University of Nigeria Nsukka,Education,Rivers,Female,Lecturer ii,Ph.D,Adjunct staff,32,8,0,5.7,6,2,15,Medium,0.0,0.125,13.7,1.6667
1521,University of Ilorin,Biology,Kano,Female,Lecturer i,Ph.D,Full-time staff,37,10,0,9.9,2,4,14,Medium,0.0,0.2667,19.9,1.2727
1522,Bayero University Kano,English,Kano,Female,Senior lecturer,LL.B,Full-time staff,42,12,11,8.9,3,5,18,Executive,0.8462,0.2632,31.9,1.3846
1523,Ahmadu Bello University,Law,Taraba,Female,Associate professor,Ph.D,Full-time staff,49,26,9,8.4,0,6,8,Executive,0.3333,0.6667,43.4,0.2963
1524,University of Benin,Geography,Adamawa,Female,Graduate assistant,Ph.D,Full-time staff,29,2,2,8.6,3,5,4,Low,0.6667,1.0,12.6,1.3333
1525,Bayero University Kano,Law,Sokoto,Female,Lecturer i,B.Sc,Full-time staff,36,8,5,5.6,0,2,13,High,0.5556,0.1429,18.6,1.4444
1526,Bayero University Kano,Accounting,Katsina,Male,Lecturer i,Ph.D,Contract staff,34,7,2,6.8,5,1,13,High,0.25,0.0714,15.8,1.625
1527,University of Ilorin,English,Kwara,Female,Assistant lecturer,Ph.D,Adjunct staff,27,3,4,8.1,4,7,1,Medium,1.0,3.5,15.1,0.25
1528,Abubakar Tafawa Balewa University Bauchi,Medicine,Zamfara,Female,Lecturer i,M.Sc,Contract staff,36,12,4,3.6,0,6,21,High,0.3077,0.2727,19.6,1.6154
1529,Ahmadu Bello University,Geography,Kaduna,Female,Professor,Ph.D,Visiting staff,55,28,10,6.4,2,2,18,Executive,0.3448,0.1053,44.4,0.6207
1530,Abubakar Tafawa Balewa University Bauchi,Library science,Zamfara,Female,Lecturer ii,M.Sc,Full-time staff,37,9,7,7.6,3,3,23,Medium,0.7,0.125,23.6,2.3
1531,Federal University of Technology Minna,Chemistry,Kwara,Female,Graduate assistant,Ph.D,Full-time staff,30,3,5,4.4,0,5,2,Medium,1.25,1.6667,12.4,0.5
1532,Nnamdi Azikiwe University,Geography,Niger,Male,Lecturer i,Ph.D,Full-time staff,33,7,6,7.9,5,1,3,High,0.75,0.25,20.9,0.375
1533,Nnamdi Azikiwe University,English,Zamfara,Female,Lecturer i,Ph.D,Full-time staff,40,13,6,8.8,4,1,13,High,0.4286,0.0714,27.8,0.9286
1534,Abubakar Tafawa Balewa University Bauchi,Nursing,Kano,Female,Senior lecturer,Ph.D,Full-time staff,44,22,6,6.9,2,7,22,Executive,0.2609,0.3043,34.9,0.9565
1535,University of Benin,Biology,Plateau,Female,Assistant lecturer,Ph.D,Full-time staff,25,3,3,10.0,6,5,1,Medium,0.75,2.5,16.0,0.25
1536,Federal University of Technology Minna,Physics,Zamfara,Female,Assistant lecturer,M.Phil,Full-time staff,32,3,1,3.7,2,3,2,Medium,0.25,1.0,7.7,0.5
1537,University of Nigeria Nsukka,Education,Kwara,Female,Assistant lecturer,M.Sc,Part-time staff,29,5,7,9.3,6,7,3,Medium,1.1667,1.75,21.3,0.5
1538,Obafemi Awolowo University,Law,Delta,Female,Associate professor,Ph.D,Full-time staff,47,21,12,9.9,0,4,14,Executive,0.5455,0.2667,42.9,0.6364
1539,Federal University of Technology Minna,Biology,Anambra,Female,Lecturer ii,M.Sc,Full-time staff,38,9,3,3.5,2,1,7,Medium,0.3,0.125,15.5,0.7
1540,Obafemi Awolowo University,Engineering,Rivers,Female,Lecturer ii,Ph.D,Adjunct staff,31,6,2,6.8,2,3,5,High,0.2857,0.5,14.8,0.7143
1541,Ahmadu Bello University,Pharmacy,Lagos,Female,Lecturer i,Ph.D,Visiting staff,34,12,7,6.9,9,5,16,High,0.5385,0.2941,25.9,1.2308
1542,Obafemi Awolowo University,Economics,Niger,Female,Lecturer ii,Ph.D,Full-time staff,32,9,5,8.0,261,4,15,Medium,0.5,0.25,22.0,1.5
1543,Federal University of Technology Minna,Geography,Katsina,Female,Lecturer i,Ph.D,Full-time staff,42,13,10,6.8,3,4,3,High,0.7143,1.0,29.8,0.2143
1544,Federal University of Technology Minna,Mathematics,Plateau,Female,Graduate assistant,Ph.D,Full-time staff,24,0,1,8.9,3,6,4,Low,1.0,1.2,9.9,4.0
1545,Bayero University Kano,Accounting,Oyo,Female,Lecturer ii,Ph.D,Full-time staff,32,6,6,6.9,2,4,11,Medium,0.8571,0.3333,18.9,1.5714
1546,Federal University of Technology Minna,Statistics,Benue,Female,Assistant lecturer,M.Sc,Full-time staff,29,3,5,6.4,5,1,4,Medium,1.25,0.2,14.4,1.0
1547,Nnamdi Azikiwe University,Biology,Taraba,Female,Lecturer i,M.Sc,Full-time staff,38,13,4,9.8,5,5,6,High,0.2857,0.7143,26.8,0.4286
1548,Federal University of Technology Minna,Medicine,Kano,Female,Lecturer i,M.Sc,Full-time staff,35,10,7,3.7,6,3,23,Medium,0.6364,0.125,20.7,2.0909
1549,Nnamdi Azikiwe University,Mathematics,Kwara,Female,Senior lecturer,Ph.D,Adjunct staff,42,19,11,9.7,1,4,15,High,0.55,0.25,39.7,0.75
1550,Nnamdi Azikiwe University,Medicine,Kano,Female,Associate professor,Ph.D,Part-time staff,56,29,19,6.2,1,4,4,Executive,0.6333,0.8,54.2,0.1333
1551,University of Ilorin,Library science,Zamfara,Male,Lecturer i,Ph.D,Full-time staff,31,9,4,3.8,0,5,23,Medium,0.4,0.2083,16.8,2.3
1552,Abubakar Tafawa Balewa University Bauchi,Library science,Adamawa,Male,Lecturer ii,Ph.D,Contract staff,35,7,7,4.6,4,3,18,Medium,0.875,0.1579,18.6,2.25
1553,Ahmadu Bello University,English,Kwara,Female,Lecturer ii,Ph.D,Full-time staff,29,7,1,7.0,5,6,13,Medium,0.125,0.4286,15.0,1.625
1554,Nnamdi Azikiwe University,Library science,Niger,Female,Senior lecturer,Ph.D,Full-time staff,40,0,3,9.9,1,2,7,Executive,3.0,0.25,12.9,7.0
1555,University of Ilorin,Accounting,Rivers,Female,Senior lecturer,Ph.D,Full-time staff,45,16,10,9.2,8,5,11,Executive,0.5882,0.4167,35.2,0.6471
1556,University of Nigeria Nsukka,Law,Lagos,Male,Professor,Ph.D,Full-time staff,53,26,4,9.6,2,7,8,Executive,0.1481,0.7778,39.6,0.2963
1557,Abubakar Tafawa Balewa University Bauchi,Engineering,Oyo,Female,Professor,Ph.D,Full-time staff,61,39,6,7.1,0,3,18,Executive,0.15,0.1579,52.1,0.45
1558,University of Lagos,Biology,Anambra,Male,Associate professor,M.Phil,Full-time staff,48,23,9,7.9,2,1,6,Executive,0.375,0.1429,39.9,0.25
1559,Nnamdi Azikiwe University,Physics,Oyo,Female,Associate professor,Ph.D,Full-time staff,41,18,4,3.8,6,5,13,Executive,0.2105,0.3571,25.8,0.6842
1560,University of Lagos,Engineering,Kwara,Male,Assistant lecturer,Ph.D,Full-time staff,31,3,0,5.5,9,12,0,Low,0.0,12.0,8.5,0.0
1561,University of Benin,Nursing,Lagos,Female,Professor,Ph.D,Full-time staff,55,32,9,6.0,3,6,5,Executive,0.2727,1.0,47.0,0.1515
1562,Bayero University Kano,Engineering,Kano,Female,Lecturer i,M.Ed,Full-time staff,32,7,11,4.2,6,6,11,High,1.375,0.5,22.2,1.375
1563,Federal University of Technology Minna,Medicine,Anambra,Female,Lecturer i,B.Sc,Full-time staff,38,11,10,8.3,4,4,20,High,0.8333,0.1905,29.3,1.6667
1564,University of Nigeria Nsukka,Mathematics,Kaduna,Female,Senior lecturer,Ph.D,Contract staff,48,19,7,6.0,0,6,14,High,0.35,0.4,32.0,0.7
1565,University of Benin,Agriculture,Katsina,Female,Lecturer ii,Ph.D,Full-time staff,35,10,5,6.1,0,4,14,Medium,0.4545,0.2667,21.1,1.2727
1566,University of Nigeria Nsukka,Education,Zamfara,Female,Lecturer i,B.Sc,Full-time staff,36,7,6,8.4,4,7,22,High,0.75,0.3043,21.4,2.75
1567,Nnamdi Azikiwe University,Education,Benue,Female,Senior lecturer,M.Phil,Contract staff,47,18,9,8.7,0,2,17,Executive,0.4737,0.1111,35.7,0.8947
